გაკვეთილი,დაწყება,დასრულება
მათემატიკა,9:00,9:35
გეოგრაფია,9:40,10:15
ქიმია,10:20,10:55
ქართული,11:00,11:35
ინგლისური,11:40,12:15
საგზაო,12:20,12:55
