გაკვეთილი,დაწყება,დასრულება
მათემატიკა,9:00,9:35
ქართული,9:40,10:15
ქიმია,10:40,11:05
რუსული,11:05,11:35
არჩევითი,11:40,12:15
ისტორია,12:20,12:55
