გაკვეთილი,დაწყება,დასრულება
გეოგრაფია,9:00,9:35
ქართული,9:40,10:15
ქიმია,10:40,11:15
რუსული,11:05,11:35
მათემატიკა,11:40,12:15
ეკონომიკა,12:20,12:55
ისტორია,13:00,13:35
