გაკვეთილი,დაწყება,დასრულება
მათემატიკა,9:00,9:35
ქიმია,9:40,10:15
ისტორია,10:20,10:55
ინგლისური,11:00,11:35
ქართული,11:40,12:15
სპორტი,12:20,12:55
