გაკვეთილი,დაწყება,დასრულება
მათემატიკა,9:00,9:35
ინგლისური,9:40,10:15
გეორგაფია,10:20,10:55
ქართული,11:00,11:35
ისტორია,11:40,12:15
რუსული,12:20,12:55
