გაკვეთილი,დაწყება,დასრულება
ქართული,9:00,9:35
მათემატიკა,9:40,10:15
გეორგაფია,10:20,10:55
ისტორია,11:00,11:35
ქიმია,11:40,12:15
ბიოლოგია,12:20,12:55
